T25,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
12,Algeria,2013,Emissions per capita (metric tons of carbon dioxide),3.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2014,Emissions per capita (metric tons of carbon dioxide),3.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,1995,Emissions (thousand metric tons of carbon dioxide),425,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2005,Emissions (thousand metric tons of carbon dioxide),576,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2010,Emissions (thousand metric tons of carbon dioxide),517,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2012,Emissions (thousand metric tons of carbon dioxide),488,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2013,Emissions (thousand metric tons of carbon dioxide),477,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2014,Emissions (thousand metric tons of carbon dioxide),462,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,1995,Emissions per capita (metric tons of carbon dioxide),6.6,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2005,Emissions per capita (metric tons of carbon dioxide),7.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2010,Emissions per capita (metric tons of carbon dioxide),6.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2012,Emissions per capita (metric tons of carbon dioxide),6.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2013,Emissions per capita (metric tons of carbon dioxide),6.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
20,Andorra,2014,Emissions per capita (metric tons of carbon dioxide),6.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),"4,415",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),"4,701",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,1995,Emissions (thousand metric tons of carbon dioxide),"10,975",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),"19,156",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),"29,057",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2012,Emissions (thousand metric tons of carbon dioxide),"33,399",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2013,Emissions (thousand metric tons of carbon dioxide),"32,618",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2014,Emissions (thousand metric tons of carbon dioxide),"34,763",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,1995,Emissions per capita (metric tons of carbon dioxide),0.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2005,Emissions per capita (metric tons of carbon dioxide),1.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2010,Emissions per capita (metric tons of carbon dioxide),1.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2012,Emissions per capita (metric tons of carbon dioxide),1.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2013,Emissions per capita (metric tons of carbon dioxide),1.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
24,Angola,2014,Emissions per capita (metric tons of carbon dioxide),1.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
660,Anguilla,1995,Emissions (thousand metric tons of carbon dioxide),66,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
660,Anguilla,2005,Emissions (thousand metric tons of carbon dioxide),128,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
660,Anguilla,2010,Emissions (thousand metric tons of carbon dioxide),150,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
660,Anguilla,2012,Emissions (thousand metric tons of carbon dioxide),143,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
660,Anguilla,2013,Emissions (thousand metric tons of carbon dioxide),136,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
660,Anguilla,2014,Emissions (thousand metric tons of carbon dioxide),143,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
660,Anguilla,1995,Emissions per capita (metric tons of carbon dioxide),6.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
